# data for MAX_MESSAGE_SIZE equal to 100000
# data for N_OUTLIERS equal to 20
# data for N_VALID equal to 80
#
#      number of calls per message symbol      lookahead symbols
#     -----------------------------------  ---------------------
# ns       min      avg      med      max   min    avg  med  max
#---  -------- -------- -------- --------  ---- ------ ---- ----
 475     8.607    8.649    8.649    8.693   130  171.6  170  306
 476     8.606    8.652    8.651    8.691   127  169.0  169  317
 477     8.609    8.655    8.655    8.700   129  170.2  168  277
 478     8.612    8.659    8.658    8.701   124  169.3  168  263
 479     8.615    8.661    8.660    8.706   130  169.4  168  243
 480     8.618    8.665    8.664    8.709   123  168.6  167  255
 481     8.622    8.668    8.667    8.708   132  168.4  167  258
 482     8.629    8.671    8.671    8.714   124  170.3  168  310
 483     8.629    8.674    8.673    8.722   137  169.9  166  264
 484     8.634    8.677    8.676    8.717   129  170.2  168  268
 485     8.631    8.681    8.680    8.723   130  168.6  166  237
 486     8.640    8.683    8.683    8.725   124  170.7  170  249
 487     8.642    8.686    8.686    8.729   130  169.1  167  254
 488     8.644    8.689    8.689    8.732   129  167.8  167  268
 489     8.648    8.692    8.692    8.732   123  170.5  169  252
 490     8.653    8.696    8.695    8.740   129  168.5  167  236
 491     8.655    8.699    8.698    8.738   124  167.6  167  278
 492     8.659    8.702    8.702    8.742   130  169.5  168  275
 493     8.654    8.705    8.704    8.748   128  168.9  166  253
 494     8.660    8.708    8.707    8.751   132  169.3  168  286
 495     8.665    8.711    8.712    8.751   128  167.3  166  241
 496     8.673    8.714    8.714    8.757   133  170.8  170  274
 497     8.674    8.717    8.716    8.759   124  168.5  168  234
 498     8.674    8.720    8.720    8.760   130  170.2  170  271
 499     8.679    8.723    8.722    8.767   133  168.3  167  258
 500     8.686    8.725    8.725    8.772   122  166.4  165  260
 501     8.688    8.728    8.728    8.772   121  170.6  168  270
 502     8.689    8.732    8.733    8.772   130  167.7  168  281
 503     8.690    8.734    8.734    8.779   132  165.9  164  277
 504     8.692    8.738    8.737    8.779   129  168.3  166  271
 505     8.699    8.741    8.740    8.785   115  167.3  165  234
 506     8.703    8.743    8.744    8.786   130  169.0  168  254
 507     8.708    8.746    8.745    8.789   130  169.6  168  255
 508     8.700    8.750    8.749    8.793   118  169.8  168  270
 509     8.712    8.753    8.752    8.797   124  167.4  165  286
 510     8.714    8.755    8.755    8.798   120  167.6  165  311
 511     8.714    8.759    8.759    8.803   125  167.7  166  268
 512     8.721    8.761    8.759    8.800   128  166.5  164  251
 513     8.722    8.764    8.763    8.808   125  168.6  168  249
 514     8.729    8.767    8.767    8.808   127  167.1  168  249
 515     8.731    8.770    8.769    8.811   129  167.6  166  270
 516     8.732    8.773    8.773    8.816   133  167.4  166  272
 517     8.734    8.776    8.777    8.822   127  168.1  166  243
 518     8.741    8.779    8.779    8.820   120  170.1  169  256
 519     8.740    8.782    8.782    8.827   131  165.2  165  250
 520     8.745    8.785    8.785    8.829   119  164.2  162  249
 521     8.749    8.787    8.786    8.831   124  165.9  165  269
 522     8.750    8.790    8.790    8.835   122  167.0  166  253
 523     8.751    8.793    8.793    8.838   124  168.7  165  262
 524     8.755    8.796    8.796    8.838   126  166.5  165  232
 525     8.761    8.799    8.799    8.842   131  166.6  165  253
 526     8.764    8.802    8.802    8.846   127  165.7  165  272
 527     8.769    8.804    8.804    8.851   130  166.8  165  286
 528     8.767    8.807    8.807    8.858   117  166.5  164  260
 529     8.771    8.810    8.811    8.856   124  165.8  165  245
 530     8.776    8.813    8.813    8.857   129  164.4  164  269
 531     8.774    8.815    8.816    8.860   123  168.8  167  264
 532     8.780    8.818    8.820    8.861   124  168.3  168  274
 533     8.781    8.822    8.822    8.864   130  164.7  164  248
 534     8.788    8.824    8.824    8.870   127  166.1  163  302
 535     8.785    8.827    8.827    8.868   123  165.5  164  248
 536     8.786    8.830    8.829    8.872   118  165.2  164  255
 537     8.795    8.833    8.833    8.877   121  167.7  166  225
 538     8.795    8.835    8.835    8.878   130  165.7  165  275
 539     8.793    8.838    8.838    8.887   121  166.2  165  265
 540     8.800    8.841    8.841    8.887   120  166.0  164  243
 541     8.805    8.844    8.844    8.890   131  165.8  166  268
 542     8.807    8.846    8.847    8.887   125  166.1  165  239
 543     8.810    8.849    8.849    8.891   113  165.4  164  256
 544     8.812    8.852    8.853    8.895   124  166.2  165  283
 545     8.812    8.855    8.856    8.897   129  167.5  165  258
 546     8.816    8.857    8.857    8.900   125  166.5  166  251
 547     8.818    8.860    8.860    8.903   124  169.7  168  274
 548     8.823    8.863    8.864    8.906   129  166.0  166  230
 549     8.823    8.865    8.866    8.911   126  166.4  166  286
 550     8.830    8.868    8.869    8.914   128  166.7  168  237
 551     8.831    8.871    8.871    8.910   128  166.3  166  232
 552     8.838    8.874    8.875    8.913   126  166.7  164  270
 553     8.835    8.877    8.877    8.918   120  165.6  165  226
 554     8.841    8.879    8.879    8.919   124  167.0  166  268
 555     8.843    8.882    8.882    8.922   123  166.0  164  252
 556     8.845    8.884    8.885    8.926   124  169.2  168  260
 557     8.847    8.887    8.886    8.927   129  166.8  165  284
 558     8.846    8.889    8.889    8.933   130  166.2  167  256
 559     8.854    8.892    8.892    8.935   124  162.8  162  262
 560     8.853    8.895    8.894    8.935   119  165.3  162  223
 561     8.856    8.897    8.897    8.939   128  167.1  167  248
 562     8.861    8.900    8.900    8.944   130  168.9  167  249
 563     8.866    8.903    8.902    8.946   123  166.4  165  301
 564     8.865    8.905    8.905    8.948   126  165.8  165  277
 565     8.865    8.908    8.908    8.947   130  168.6  166  329
 566     8.869    8.911    8.910    8.951   126  165.1  163  236
 567     8.876    8.913    8.913    8.951   131  167.7  166  261
 568     8.872    8.916    8.916    8.956   123  164.7  166  230
 569     8.876    8.919    8.918    8.958   126  169.6  168  310
 570     8.876    8.921    8.921    8.963   122  166.9  166  253
 571     8.882    8.924    8.924    8.969   130  168.2  168  279
 572     8.883    8.926    8.926    8.966   127  166.2  164  251
 573     8.883    8.929    8.929    8.969   130  165.7  165  235
 574     8.886    8.932    8.931    8.972   117  166.9  165  254
 575     8.893    8.934    8.934    8.974   129  169.1  168  278
 576     8.891    8.936    8.936    8.978   128  171.1  169  246
 577     8.891    8.939    8.940    8.976   131  168.8  168  265
 578     8.894    8.941    8.941    8.982   130  166.4  165  284
 579     8.898    8.944    8.944    8.985   122  166.3  164  299
 580     8.903    8.947    8.946    8.990   130  168.4  165  254
 581     8.905    8.949    8.950    8.989   125  168.4  167  264
 582     8.904    8.952    8.953    8.997   119  170.0  167  242
 583     8.900    8.954    8.954    8.994   125  169.1  167  259
 584     8.912    8.957    8.958    8.996   127  166.2  166  252
 585     8.909    8.959    8.959    9.001   127  168.6  167  264
 586     8.918    8.962    8.962    9.003   132  169.0  167  234
 587     8.916    8.965    8.965    9.005   134  168.9  165  286
 588     8.917    8.967    8.967    9.009   132  169.9  170  263
 589     8.916    8.969    8.969    9.006   131  171.2  170  240
 590     8.922    8.972    8.972    9.015   129  170.0  169  277
 591     8.928    8.974    8.974    9.015   131  170.9  169  287
 592     8.927    8.977    8.977    9.016   125  168.7  166  266
 593     8.930    8.980    8.979    9.018   130  171.6  170  276
 594     8.938    8.982    8.982    9.020   129  172.3  170  288
 595     8.935    8.984    8.985    9.022   121  171.0  170  254
 596     8.941    8.987    8.987    9.024   129  170.9  169  247
 597     8.944    8.989    8.988    9.032   131  171.3  170  296
 598     8.950    8.992    8.991    9.031   134  170.5  169  257
 599     8.956    8.994    8.995    9.032   133  174.0  173  284
 600     8.955    8.997    8.997    9.035   131  171.3  171  248
 601     8.955    8.999    8.999    9.040   128  170.9  167  237
 602     8.956    9.002    9.002    9.044   130  173.0  173  247
 603     8.961    9.004    9.003    9.041   125  174.0  174  290
 604     8.963    9.007    9.007    9.043   130  174.4  174  237
 605     8.967    9.009    9.009    9.049   121  174.3  171  299
 606     8.961    9.011    9.011    9.046   135  174.8  174  275
 607     8.965    9.014    9.015    9.049   124  174.4  172  243
 608     8.969    9.016    9.017    9.052   126  173.6  173  266
 609     8.972    9.018    9.019    9.056   129  174.1  173  299
 610     8.975    9.021    9.021    9.053   131  174.3  172  242
 611     8.979    9.024    9.025    9.061   130  174.4  173  261
 612     8.984    9.026    9.027    9.066   134  174.3  175  318
 613     8.983    9.028    9.029    9.067   134  177.7  177  297
 614     8.983    9.030    9.030    9.068   130  175.0  172  312
 615     8.991    9.032    9.032    9.069   132  176.5  173  262
 616     8.995    9.035    9.035    9.071   133  177.4  177  300
 617     8.989    9.038    9.038    9.071   137  177.7  176  284
 618     8.997    9.040    9.040    9.081   132  174.6  172  267
 619     9.005    9.042    9.043    9.081   129  178.3  179  282
 620     9.001    9.045    9.045    9.079   127  178.0  177  263
 621     8.999    9.047    9.048    9.087   130  177.2  176  318
 622     9.007    9.049    9.051    9.085   126  179.2  176  303
 623     9.007    9.052    9.052    9.088   131  179.9  177  321
 624     9.010    9.054    9.054    9.088   136  180.7  179  332
 625     9.016    9.056    9.057    9.094   126  179.5  177  272
 626     9.015    9.059    9.059    9.096   131  177.8  177  299
 627     9.018    9.061    9.061    9.095   134  181.7  180  285
 628     9.023    9.063    9.064    9.101   136  177.6  176  309
 629     9.026    9.066    9.066    9.100   136  181.1  180  262
 630     9.025    9.068    9.068    9.102   124  181.1  180  263
 631     9.026    9.070    9.071    9.105   130  178.8  176  290
 632     9.033    9.073    9.074    9.111   138  179.1  177  300
 633     9.036    9.075    9.076    9.113   130  182.9  179  317
 634     9.038    9.076    9.076    9.112   134  182.4  181  247
 635     9.036    9.079    9.079    9.112   138  182.1  182  297
 636     9.046    9.082    9.083    9.119   138  185.0  184  288
 637     9.042    9.084    9.084    9.116   140  182.0  180  263
 638     9.048    9.086    9.086    9.125   132  182.3  179  270
 639     9.047    9.088    9.088    9.121   133  181.4  180  266
 640     9.050    9.090    9.090    9.123   136  183.5  181  315
 641     9.051    9.093    9.093    9.127   132  183.6  182  264
 642     9.058    9.095    9.095    9.129   142  187.7  187  273
 643     9.057    9.097    9.097    9.132   139  182.9  182  288
 644     9.063    9.099    9.099    9.132   142  186.9  186  262
 645     9.060    9.101    9.102    9.137   135  187.4  187  284
 646     9.065    9.104    9.104    9.137   132  186.8  185  345
 647     9.072    9.106    9.106    9.140   136  183.8  182  291
 648     9.072    9.108    9.108    9.143   131  187.1  186  289
 649     9.076    9.110    9.110    9.143   133  187.3  186  282
 650     9.077    9.112    9.112    9.144   139  185.8  183  294
